filename,n_redactions
00001.txt,12
00002.txt,3
00003.txt,11
00004.txt,8
00005.txt,0
00006.txt,6
00007.txt,21
00008.txt,11
00009.txt,8
00010.txt,14
00011.txt,4
00012.txt,15
00013.txt,9
00014.txt,8
00015.txt,0
00016.txt,5
00017.txt,10
00018.txt,0
00019.txt,3
00020.txt,0
00021.txt,8
00022.txt,20
00023.txt,54
00024.txt,0
00025.txt,14
00026.txt,11
00027.txt,4
00028.txt,21
00029.txt,55
00030.txt,17
00031.txt,47
00032.txt,8
00033.txt,109
00034.txt,2
00035.txt,1
00036.txt,1
00037.txt,3
00038.txt,5
00039.txt,1
00040.txt,8
00041.txt,0
00042.txt,46
00043.txt,23
00044.txt,11
00045.txt,1
00046.txt,43
00047.txt,8
00048.txt,3
00049.txt,13
00050.txt,21
00051.txt,1
00052.txt,2
00053.txt,13
00054.txt,0
00055.txt,10
00056.txt,44
00057.txt,15
00058.txt,21
00059.txt,14
00060.txt,51
00061.txt,14
00062.txt,4
00063.txt,23
00064.txt,15
00065.txt,1
00066.txt,5
00067.txt,46
00068.txt,18
00069.txt,0
00070.txt,4
00071.txt,15
00072.txt,21
00073.txt,9
00074.txt,6
00075.txt,0
00076.txt,39
00077.txt,154
00078.txt,21
00079.txt,9
00080.txt,51
00081.txt,15
00082.txt,0
00083.txt,11
00084.txt,63
00085.txt,16
00086.txt,5
00087.txt,16
00088.txt,45
00089.txt,7
00090.txt,36
00091.txt,27
00092.txt,20
00093.txt,3
00094.txt,9
00095.txt,6
00096.txt,20
00097.txt,27
00098.txt,0
00099.txt,6
00100.txt,20
00101.txt,48
00102.txt,6
00103.txt,2
00104.txt,1
00105.txt,0
00106.txt,13
00107.txt,33
00108.txt,3
00109.txt,11
00110.txt,18
00111.txt,3
00112.txt,14
00113.txt,4
00114.txt,19
00115.txt,5
00116.txt,6
00117.txt,3
00118.txt,3
00119.txt,5
00120.txt,13
00121.txt,1
00122.txt,4
00123.txt,3
00124.txt,2
00125.txt,0
00126.txt,0
00127.txt,24
00128.txt,10
00129.txt,7
00130.txt,14
00131.txt,0
00132.txt,9
00133.txt,2
00134.txt,13
00135.txt,7
00136.txt,12
00137.txt,9
00138.txt,0
00139.txt,2
00140.txt,11
00141.txt,31
00142.txt,2
00143.txt,4
00144.txt,27
00145.txt,14
00146.txt,9
00147.txt,10
00148.txt,27
